theta0,theta1,theta2,theta3,theta4,theta5,g
19,64,-92,65,0,0,0
19,65,-92,65,0,0,0
19,65,-92,65,0,0,0
19,65,-92,65,0,0,0
19,65,-92,65,0,0,0
19,65,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
19,66,-92,65,0,0,0
18,66,-92,65,0,0,0
12,66,-92,65,0,0,0
5,66,-92,65,0,0,0
-1,66,-92,65,0,0,0
-6,66,-92,65,0,0,0
-11,66,-92,65,0,0,0
-14,66,-92,65,0,0,0
-16,66,-92,65,0,0,0
-18,66,-92,65,0,0,0
-18,66,-92,65,0,0,0
-19,66,-92,65,0,0,0
-19,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,66,-92,65,0,0,0
-20,64,-92,65,0,0,0
-20,61,-92,65,0,0,0
-20,60,-92,65,0,0,0
-20,58,-92,65,0,0,0
-20,56,-92,65,0,0,0
-20,55,-92,65,0,0,0
-20,55,-92,65,0,0,0
-20,54,-92,65,0,0,0
-20,54,-92,65,0,0,0
-20,54,-92,65,0,0,0
-20,54,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,63,0,0,0
